"Category","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22"
3,316,630,280,32,49,9,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20
3,302,480,170,19,28,7,36,0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20
3,310,610,280,31,47,8,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20
3,297,450,160,18,27,6,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20
3,314,670,300,33,51,8,40,0.5,60,21,1480,62,68,23,5,19,12,27,60,15,20,20
3,318,520,180,20,31,6,32,0,80,27,1320,55,55,18,5,20,10,31,70,15,20,20
3,304,540,200,23,35,4.5,23,0,50,16,1260,52,61,20,3,13,14,23,60,15,8,20
3,291,380,90,10,15,3,14,0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20
3,65,190,110,12,18,2,10,0,25,9,360,15,12,4,1,2,0,9,0,2,0,2
3,97,280,160,18,27,3,15,0,40,13,540,22,18,6,1,4,0,13,0,2,2,4
3,162,470,270,30,45,5,25,0,65,22,900,37,30,10,2,6,0,22,0,4,2,6
3,323,940,530,59,91,10,50,0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10
3,646,1880,1060,118,182,20,101,1,265,89,3600,150,118,39,6,24,1,87,0,15,8,25
3,142,390,170,19,29,4,19,0,40,14,590,24,39,13,2,7,5,15,2,0,15,10
5,223,140,70,7,11,3.5,18,0,25,9,300,13,10,3,3,12,4,9,170,30,15,6
5,255,380,190,21,33,6,29,0,70,23,860,36,22,7,2,10,5,25,100,25,15,8
5,241,220,80,8,13,4,20,0,85,29,690,29,8,3,2,10,4,29,110,30,15,8
5,230,140,40,4.5,7,2,9,0,10,3,150,6,20,7,6,23,6,6,160,25,15,10
5,348,450,190,22,33,4.5,22,0,50,17,850,35,42,14,7,28,12,23,170,30,15,15
5,335,290,80,8,13,2.5,13,0,70,23,680,28,28,9,7,28,10,27,170,30,15,15
7,130,340,130,15,23,4.5,22,0,30,11,780,33,37,12,1,6,8,14,4,0,10,10
7,123,260,70,8,13,3.5,18,0,40,14,700,29,30,10,1,6,7,16,4,2,10,10
7,123,330,130,15,23,4.5,22,0,35,11,730,30,34,11,1,5,3,14,2,0,10,10
7,116,250,70,8,13,3.5,18,0,45,14,650,27,27,9,1,5,2,16,2,2,10,10
7,128,360,180,20,30,5,27,0,40,13,810,34,32,11,1,5,3,15,2,0,10,10
7,121,280,120,13,20,4.5,22,0,45,16,720,30,25,8,1,5,2,16,2,2,10,10
7,75,230,100,11,17,1.5,8,0,0,0,130,5,30,10,2,10,0,2,0,30,0,4
7,111,340,140,16,24,2.5,11,0,0,0,190,8,44,15,4,14,0,4,0,45,2,4
7,168,510,220,24,37,3.5,17,0,0,0,290,12,67,22,5,22,0,6,0,70,2,8
7,38,110,50,5,8,1,4,0,0,0,65,3,15,5,1,5,0,1,0,15,0,2
7,87,20,0,0,0,0,0,0,0,0,10,0,4,1,1,6,2,1,45,25,2,4
7,34,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,160,2,0
7,149,150,20,2,3,1,5,0,5,2,70,3,30,10,1,3,23,4,2,15,10,4
4,77,250,110,13,19,7,35,0,0,0,170,7,32,11,4,15,13,2,4,25,2,6
4,33,160,70,8,12,3.5,19,0,10,3,90,4,21,7,1,3,15,2,2,0,2,8
4,33,150,50,6,9,2.5,13,0,10,3,135,6,22,7,1,3,13,2,2,0,2,6
4,29,45,10,1.5,2,1,4,0,5,2,20,1,7,2,0,0,6,1,2,0,4,0
4,179,330,80,9,14,7,34,0,25,8,170,7,53,18,1,3,48,8,8,0,25,8
4,182,340,70,8,12,5,24,0,30,10,150,6,60,20,0,0,43,7,10,0,25,0
4,178,280,60,6,10,4,20,0,25,8,85,4,49,16,0,0,45,6,8,4,20,0
6,310,650,210,23,35,14,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8
6,460,930,290,33,50,20,102,1,75,25,260,11,139,46,2,7,128,20,25,0,70,10
6,207,430,140,15,24,10,48,0,35,11,120,5,64,21,1,4,59,9,10,0,30,4
6,285,510,150,17,26,9,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8
6,381,690,200,23,35,12,58,1,55,19,380,16,106,35,1,5,85,15,20,0,50,10
6,190,340,100,11,17,6,29,0,30,9,190,8,53,18,1,2,43,8,10,0,25,6
6,403,810,290,32,50,15,76,1,60,20,400,17,114,38,2,9,103,21,20,0,60,6
6,202,410,150,16,25,8,38,0,30,10,200,8,57,19,1,5,51,10,10,0,30,4
